,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,IMDBRating,IMDBVotes,IMDBID,Box Office Revenue,Type
90,"Tayo, the Little Bus",2010–2019,,23 Aug 2010,,"Animation, Comedy, Family",,,"Patricia Kalis, Jul Kohler, Aramis Merlin","In a big city where various vehicles are happily living together, our little bus Tayo has just started learning his route in the city. There is lots more to learn for Tayo. Tayo and his friendly friends Rogi, Lani and Gani are hel...","Indonesian, Japanese, Korean, English",South Korea,,,5.3,158,tt3270208,,series
91,Angamaly Diaries,2017,Not Rated,03 Mar 2017,132.0,"Action, Comedy, Thriller",Lijo Jose Pellissery,Chemban Vinod Jose,"Antony Varghese, Reshma Rajan, Binny Rinky Benjamin","Vincent Pepe who wanted to be a powerful leader of a righteous gang that ruled the city, like his seniors. And then there's the rival clan with the malicious gangsters of Angamaly a locale on which the film is based.",Malayalam,India,2 wins & 6 nominations,,7.9,"6,225",tt6167894,,movie
92,Bunk'd,2015–,TV-G,31 Jul 2015,,"Comedy, Drama, Family",,Pamela Eells,"Miranda May, Mallory James Mahoney, Raphael Alejandro","Emma, Ravi, and Zuri Ross head off to a rustic summer camp in Maine, where their parents met as teens. Along with their new friends, love triangle, and the fears of the camp, the trio tries their best to settle into their exciting...",English,United States,3 wins & 20 nominations,,5.3,"3,391",tt4591680,,series
93,A Champion Heart,2018,G,26 Aug 2021,90.0,Family,David de Vos,"Stephanie de Vos, David de Vos, Tiffany North","Mandy Grace, Devan Key, Donna Rusch","A troubled girl finds faith, hope, and healing through a relationship with a wounded horse.",English,United States,,,6.0,426,tt4738912,,movie
94,Dive Club,2021–,TV-PG,03 Sep 2021,,"Adventure, Drama, Family",,Steve Jaggi,"Miah Madden, Georgia-May Davis, Sana'a Shaik","Dive Club follows the story of a feisty group of teen divers who search for their friend when she disappears after a cyclone hits Cape Mercy, their small coastal town.",English,Australia,2 nominations,,6.2,923,tt13275052,,series
95,Money Heist: From Tokyo to Berlin,2021,,03 Sep 2021,,Documentary,,,"Jesús Colmenar, Rodrigo de la Serna, Pedro Alonso","The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",Spanish,Spain,,,7.6,924,tt15384346,,series
96,Sharkdog,2021–,TV-Y,03 Sep 2021,7.0,"Animation, Short, Adventure",,Jacinth Tan,"Liam Mitchell, Dee Bradley Baker, Liz Burnette","10 year old Max and his best friend Sharkdog - half shark, half dog, all appetite. Blissfully unaware of his own strength, stealth and general sharkiness, Sharkdog often leaves a trail of chaos in his wake.",English,"United States, Singapore",,,6.0,177,tt12211696,,series
97,Worth,2020,PG-13,03 Sep 2021,118.0,"Biography, Drama, History",Sara Colangelo,Max Borenstein,"Michael Keaton, Amy Ryan, Stanley Tucci","An attorney in Washington D.C. battles against cynicism, bureaucracy and politics to help the victims of 9/11.",English,"United Kingdom, Canada, United States",,67,6.8,"14,789",tt8009744,,movie
98,Afterlife of the Party,2021,TV-PG,02 Sep 2021,109.0,"Comedy, Drama, Fantasy",Stephen Herek,Carrie Freedle,"Victoria Justice, Midori Francis, Robyn Scott",A social butterfly who dies during her birthday week is given a second chance to right her wrongs on Earth.,English,United States,1 win,,5.8,"9,222",tt11742798,,movie
99,Anjaam,1994,Not Rated,22 Apr 1994,170.0,"Crime, Drama, Thriller",Rahul Rawail,"Sutanu Gupta, Rumi Jaffery, Gautam Rajadhyaksha","Madhuri Dixit, Shah Rukh Khan, Tinnu Anand",Vijay falls in love Shivani and proposes her only to be rejected every time. However his love turns into an obsession and turns her life into a hell.,Hindi,,2 nominations,,6.6,"6,648",tt0109134,,movie
100,Bright Star,2009,PG,09 Oct 2009,119.0,"Biography, Drama, Romance",Jane Campion,"Jane Campion, Andrew Motion","Abbie Cornish, Ben Whishaw, Paul Schneider",The three-year romance between 19th-century poet John Keats and Fanny Brawne near the end of his life.,"English, French","Australia, United Kingdom, France",Nominated for 1 Oscar. 16 wins & 54 nominations total,81,6.9,"27,743",tt0810784,"$4,444,637",movie
101,Final Account,2020,PG-13,21 May 2021,94.0,Documentary,Luke Holland,,,"An urgent portrait of the last living generation of Hitler's Third Reich in never-before-seen interviews raising vital questions about authority, conformity, national identity, and their own roles in the greatest human crimes in h...",German,"United Kingdom, United States",2 nominations,76,7.2,"1,148",tt12789212,"$308,976",movie
102,Gurgaon,2017,,04 Aug 2017,107.0,"Crime, Thriller",Shanker Raman,"Vipin Bhati, Lovesh Nagar, Shanker Raman","Akshay Oberoi, Pankaj Tripathi, Aamir Bashir",Based on true event this story revolves around kidnapping of Preeto which family has come to know from midnight call. The tales revolves as to how they family will be able to track Preeto..,Hindi,India,2 nominations,,6.4,"2,292",tt4699202,,movie
