,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,IMDBRating,IMDBVotes,IMDBID,Box Office Revenue,Type
259,The Crowned Clown,2019,,07 Jan 2019,,"Drama, History, Romance",,,"Yeo Jin-gu, Se-yeong Lee, Kim Sang-kyung","The story takes place in Joseon period, when power struggles surrounding the throne had reached extreme levels. In order to escape those who plan to assassinate him, the King puts a clown, who looks exactly like him, on the throne.",Korean,South Korea,1 win & 2 nominations,,8.0,"1,030",tt9266592,,series
260,Untold: Malice at the Palace,2021,TV-MA,10 Aug 2021,68.0,"Documentary, Crime, Sport",Floyd Russ,,"Jermaine O'Neal, Stephen Jackson, Metta World Peace","A brawl broke out near the end of a game between the Indiana Pacers and the Detroit Pistons on November 19, 2004. Nearly 17 years later, we re-examine that night and all the consequences that came from it.",English,United States,,,7.5,"8,676",tt15085802,,movie
261,Shaman King,2001–2005,TV-Y7,04 Jul 2001,23.0,"Animation, Action, Adventure",,,"Oliver Wyman, Andrew Rannells, Michael Sinterniklaas","SHAMAN KING follows the adventures of a 13-year-old shaman and his teammate a samurai warrior spirit, who traverse the world fighting evil spirits and misguided shamans on their journey to be the next Shaman King.","Japanese, English",Japan,,,8.0,"6,027",tt0367409,,series
262,Quartet,2012,PG-13,01 Mar 2013,98.0,"Comedy, Drama, Music",Dustin Hoffman,Ronald Harwood,"Maggie Smith, Michael Gambon, Billy Connolly","At a home for retired musicians, the annual concert to celebrate Composer Giuseppe Verdi's birthday is disrupted by the arrival of Jean (Dame Maggie Smith), an eternal diva and the former wife of one of the residents.","English, Italian, Polish, French",United Kingdom,4 wins & 5 nominations,64,6.8,"20,458",tt1441951,"$18,390,117",movie
263,Slay,2021,,26 Apr 2021,93.0,Comedy,Adze Ugah,"Sasa Nqabeni, Adze Ugah","Enhle Mbali Mlotshwa, Dawn Thandeka King, Idris Sultan","WHAT IS A ""SLAY QUEEN""? Some say these are girls who prey on older, promiscuous men. Girls who want to appear as if they come from a wealthy background when actually they're living in poverty. Some say they are merely attractive g...",English,South Africa,,,3.4,104,tt14033300,,movie
264,The Paper Tigers,2020,PG-13,07 May 2021,108.0,"Action, Comedy",Quoc Bao Tran,Quoc Bao Tran,"Yuji Okumoto, Jae Suh Park, Kieran Tamondong","Three Kung Fu prodigies have grown into washed-up, middle-aged men, now one kick away from pulling their hamstrings. But when their master is murdered, they must juggle their dead-end jobs, dad duties, and old grudges to avenge hi...",English,United States,3 wins & 3 nominations,67,6.3,"4,659",tt6060444,"$112,691",movie
265,Hit & Run,2021,TV-MA,06 Aug 2021,,"Action, Crime, Drama",,"Avi Issacharoff, Dawn Prestwich, Lior Raz","Lior Raz, Kaelen Ohm, Moran Rosenblatt",A happily-married man's life is turned upside-down when his wife is killed in a mysterious hit-and-run accident in Tel Aviv.,"English, Hebrew",United States,,,7.0,"9,050",tt9073940,,series
266,Navarasa,2021–,TV-MA,06 Aug 2021,1.0,Drama,"K.V. Anand, Gautham Vasudev Menon, Bejoy Nambiar","Madhan Karky, Pattukottai Prabhakar","Azhagam Perumal, Suriya, Yogi Babu","The nine episodes represent a different emotion or rasa such as anger, compassion, courage, disgust, fear, laughter, love, peace and wonder.",Tamil,India,,,5.8,"3,603",tt13357946,,series
267,Quam's Money,2020,,11 Dec 2020,120.0,"Comedy, Crime",Kayode Kasum,Chinaza Onuzo,"Falz, Nse Ikpe-Etim, Uchemba Williams",Quam's Money follows the adventures of security guard-turned-millionaire 'Quam' played by Folarin 'Falz' Falana as he navigates the world with his newfound wealth.,English,Nigeria,,,4.0,68,tt13113544,,movie
268,The Swarm,1978,PG,14 Jul 1978,116.0,"Horror, Thriller",Irwin Allen,"Arthur Herzog III, Stirling Silliphant","Michael Caine, Katharine Ross, Richard Widmark",A huge swarm of deadly African bees spreads terror over American cities by killing thousands of people.,English,United States,Nominated for 1 Oscar. 1 nomination total,30,4.5,"7,876",tt0078350,,movie
269,Vivo,2021,PG,06 Aug 2021,95.0,"Animation, Adventure, Comedy","Kirk DeMicco, Brandon Jeffords","Kirk DeMicco, Quiara Alegría Hudes, Peter Barsocchini","Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldana","Vivo, Sony Pictures Animation's first-ever musical adventure featuring all-new original songs from Lin-Manuel Miranda, will take audiences on an epic adventure to gorgeous and vibrant locations never before seen in animation.","English, Spanish",United States,1 win & 17 nominations,66,6.7,"18,964",tt6338498,,movie
270,Chennai Express,2013,Not Rated,08 Aug 2013,141.0,"Action, Comedy, Drama",Rohit Shetty,"K. Subhash, Yunus Sajawal, Robin Bhatt","Deepika Padukone, Shah Rukh Khan, Sathyaraj",A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.,"Hindi, Tamil, English, Marathi",,32 wins & 55 nominations,45,6.0,"55,385",tt2112124,,movie
271,City of God: 10 Years Later,2013,PG-13,20 Oct 2014,70.0,Documentary,"Cavi Borges, Luciano Vidigal","Cavi Borges, André Sampaio, Luciano Vidigal","Alice Braga, Darlan Cunha, Renato de Souza",A film documentary about the fate of the young actors of the award winning film City of God by Fernando Meirelles and Katia Lund. It shows how their lives unfolded after the film's worldwide success.,Portuguese,Brazil,2 wins,,6.4,"1,347",tt4103686,,movie
272,Esperando la carroza 2: Se acabó la fiesta,2009,,02 Apr 2009,88.0,Comedy,Gabriel Condrón,Jacobo Langsner,"Betiana Blum, Luis Brandoni, Roberto Carnaghi",Nora and Antonio organize a prestigious celebration and invite their humble relatives.,Spanish,Argentina,,,3.2,320,tt1376780,,movie
273,Lady Boss: The Jackie Collins Story,2021,TV-14,27 Jun 2021,96.0,Documentary,Laura Fairrie,,"Tita Cahn, Hazel Collins, Jackie Collins","Directed by Laura Fairrie and produced by the Academy Award®-winning Passion Pictures, along with AGC Studios, CNN Films, BBC Arts, and John Battsek, 'LADY BOSS: The Jackie Collins Story' takes viewers on an immersive journey thro...",English,United Kingdom,1 nomination,70,6.8,437,tt13244024,,movie
274,Tango (feroz),2001,,,44.0,"Documentary, Short",Fernando Nogueira,,,,Spanish,Argentina,,,7.5,14,tt0458136,,movie
275,Space Station 76,2014,R,08 Mar 2014,93.0,"Comedy, Drama, Sci-Fi",Jack Plotnick,"Jennifer Elise Cox, Sam Pancake, Jack Plotnick","Patrick Wilson, Liv Tyler, Marisa Coughlan","A 1970s version of the future, where personalities and asteroids collide.",English,United States,2 nominations,49,4.9,"8,361",tt2369317,,movie
276,Aftermath,2017,R,07 Apr 2017,94.0,"Drama, Thriller",Elliott Lester,Javier Gullón,"Arnold Schwarzenegger, Scoot McNairy, Maggie Grace",Two strangers' lives become inextricably bound together after a devastating plane crash.,"English, Thai","United Kingdom, United States",,44,5.7,"25,146",tt4581576,,movie
277,Car Masters: Rust to Riches,2018–,TV-PG,14 Sep 2018,,Reality-TV,,,"Constance Nunes, Tony Quinones, Shawn Pilot","The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.",English,United States,1 nomination,,8.4,"10,893",tt8893550,,series
278,Cocaine Cowboys: The Kings of Miami,2021,TV-MA,04 Aug 2021,,"Documentary, Crime, History",,,"Alexia Echevarria, Pedro Rosello, Ralph Linero",Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades.,English,United States,1 win & 1 nomination,,7.1,"2,816",tt15049206,,series
279,Control Z,2020–2022,TV-MA,22 May 2020,37.0,"Drama, Thriller",,"Miguel García Moreno, Adriana Pelusi, Carlos Quintanilla","Ana Valeria Becerril, Michael Ronda, Yankel Stevan","When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.",Spanish,Mexico,1 win & 1 nomination,,6.9,"9,458",tt11937662,,series
280,Cooking with Paris,2021,TV-MA,04 Aug 2021,1.0,Reality-TV,,,"Paris Hilton, Kim Kardashian, Demi Lovato",Paris Hilton can cook...kind of. And she’s turning the traditional cooking show upside down. She’s not a trained chef and she’s not trying to be.,English,United States,1 win & 1 nomination,,5.3,"1,119",tt15036422,,series
281,Autumn's Concerto,2009–2010,,04 Oct 2009,90.0,"Drama, Romance",,,"Ady An, Vanness Wu, Kang Ren Wu",A wealthy lawyer who has lost all memories of his past travels to a rural village where a woman he once loved now lives with her son.,Hokkien,Taiwan,1 nomination,,7.8,515,tt3530668,,series
282,Heavy,1995,R,05 Jun 1996,105.0,"Drama, Romance",James Mangold,James Mangold,"Pruitt Taylor Vince, Liv Tyler, Shelley Winters","The life of an overweight, unhappy cook is changed after a kind, beautiful college drop-out comes to work as a waitress at his and his mother's road-side restaurant.",English,United States,3 wins & 3 nominations,75,6.8,"5,184",tt0113280,"$941,414",movie
283,Ijé: The Journey,2010,,30 Jul 2010,107.0,Drama,Chineze Anyaene,"Chineze Anyaene, Samuel Tilsen","Genevieve Nnaji, Omotola Jalade-Ekeinde, Larry Ulrich","Unprecedented in scope, ""Ijé"" tells a tale of Chioma, a child growing up in the Nigerian countryside, who warns her restless sister Anya about the trappings of the American dream. Ten years later, Anya is accused of killing three ...","English, Ibo, Yoruba","United States, Nigeria",7 wins & 4 nominations,,6.2,111,tt1578582,,movie
284,Office Girls,2011–,,21 Aug 2011,90.0,Romance,,,"Chia-Yen Ko, Roy Chiu, Patrick Pei-hsu Lee","A department store mogul has his son work incognito in a menial job to prove his worthiness, while female coworkers teach him now normal people live.",Mandarin,Taiwan,1 nomination,,6.8,163,tt4381290,,series
285,Pray Away,2021,PG-13,03 Aug 2021,101.0,Documentary,Kristine Stolakis,,"Yvette Cantu Schneider, Michael Bussee, John Paulk","Former leaders of the ""pray the gay away"" movement contend with the aftermath unleashed by their actions, while a survivor seeks healing and acceptance from more than a decade of trauma.",English,United States,4 nominations,76,6.5,"3,043",tt11224358,,movie
286,Shiny_Flakes: The Teenage Drug Lord,2021,TV-MA,03 Aug 2021,96.0,"Documentary, Biography, Crime","Eva Müller, Michael Schmitt",Eva Müller,Maximilian Schmidt,"Max S. reveals how he built a drug empire from his childhood bedroom in this story that inspired the series ""How to Sell Drugs Online (Fast).""",German,Germany,1 nomination,,7.3,"4,985",tt15036416,,movie
287,Top Secret UFO Projects: Declassified,2021–,,19 Jan 2021,,Documentary,,,"Robert Polo, Emery Smith, Richard Dolan","Though claims of extraterrestrial encounters have long been dismissed, many believe the existence of UFOs is not just likely, but a certainty.",,United States,,,5.6,"1,531",tt14992232,,series
288,Two Fathers,2013,,26 Mar 2013,50.0,Drama,,,"Lucia Hsieh, Weber Yang, Megan Lai","Tang Hsiang-Hsi (Weber Yang), a successful attorney, and Wen Chen-Hua (Yo-Wei Lin), a quiet florist, both dated the same woman in their past.",Mandarin,Taiwan,1 nomination,,7.7,64,tt6707142,,series
289,You're My Destiny,2017,,04 Sep 2017,60.0,"Comedy, Drama, Romance",,,"Sukrit Wisetkaew, Esther Supreeleela, Duangta Tungkamanee","Pawut is the successor to a large company. Wanida is a secretary in a law firm. They both go on the same cruise, with Pawut planning to propose to Kaekai, his girlfriend, and Wanida planning on losing her virginity to her boyfrien...",Thai,Thailand,,,7.6,40,tt10041404,,series
290,30 Rock,2006–2013,TV-14,11 Oct 2006,22.0,Comedy,,Tina Fey,"Tina Fey, Alec Baldwin, Tracy Morgan","Liz Lemon, head writer of the sketch comedy show ""TGS with Tracy Jordan"", must deal with an arrogant new boss and a crazy new star, all while trying to run a successful television show without losing her mind.","English, Irish Gaelic",United States,Won 16 Primetime Emmys. 90 wins & 342 nominations total,,8.3,"124,072",tt0496424,,series
291,44 Cats,2018–,TV-Y7,10 Jun 2019,13.0,"Animation, Adventure, Comedy",,Iginio Straffi,"Judith Cabral, Sarah Natochenny, Erica Schroeder","44 Cats is a preschool comedy series that follows the daily adventures of four cats named Lampo, Milady, Pilou, and Meatball. All of them are part of a music band called 'The Buffycats'.",Italian,Italy,1 nomination,,6.2,292,tt9699148,,series
292,Beethoven,1992,PG,03 Apr 1992,87.0,"Comedy, Drama, Family",Brian Levant,"John Hughes, Amy Holden Jones","Charles Grodin, Bonnie Hunt, Dean Jones","A slobbering St. Bernard becomes the center of attention for a loving family, but must contend with a dog-napping veterinarian and his henchmen.",English,United States,1 win & 4 nominations,,5.7,"72,177",tt0103786,"$57,114,049",movie
293,Beethoven's 2nd,1993,PG,17 Dec 1993,89.0,"Comedy, Family, Romance",Rod Daniel,"John Hughes, Amy Holden Jones, Len Blum","Charles Grodin, Bonnie Hunt, Nicholle Tom","Beethoven, the St. Bernard dog, becomes a father, but his girlfriend Missy is dognapped, and his puppies are in danger of the same fate.",English,United States,Nominated for 1 Oscar. 5 nominations total,,4.9,"28,293",tt0106375,"$53,443,066",movie
294,Beowulf,2007,PG-13,16 Nov 2007,115.0,"Animation, Action, Adventure",Robert Zemeckis,"Neil Gaiman, Roger Avary, Anonymous","Ray Winstone, Crispin Glover, Angelina Jolie","The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, then Grendel's Mother, who begins killing out of revenge.","English, Old English","United States, United Kingdom",3 wins & 19 nominations,59,6.3,"168,674",tt0442933,"$82,280,579",movie
295,Boyka: Undisputed,2016,R,27 Jul 2017,86.0,"Action, Drama, Sport",Todor Chapkanov,"Boaz Davidson (story), David N. White","Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov","In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for.",,"Bulgaria, USA",2 wins.,,7.0,"26,480",tt3344680,,movie
296,Catch Me If You Can,2002,PG-13,25 Dec 2002,141.0,"Biography, Crime, Drama",Steven Spielberg,"Jeff Nathanson, Frank Abagnale Jr., Stan Redding","Leonardo DiCaprio, Tom Hanks, Christopher Walken","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","English, French","United States, Canada",Nominated for 2 Oscars. 16 wins & 46 nominations total,75,8.1,"973,233",tt0264464,"$164,615,351",movie
297,Cloudy with a Chance of Meatballs,2009,PG,18 Sep 2009,90.0,"Animation, Adventure, Comedy","Phil Lord, Christopher Miller","Phil Lord, Christopher Miller, Judi Barrett","Anna Faris, Bill Hader, Bruce Campbell","A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.","English, French, Spanish",United States,1 win & 14 nominations,66,6.9,"233,603",tt0844471,"$124,870,275",movie
298,Darwin's Game,2020–,TV-14,04 Jan 2020,23.0,"Animation, Action, Drama",,,"Yûsuke Kobayashi, Alexis Tipton, Reina Ueda","An unknowing Sudou Kaname is invited to try out a new mysterious mobile app game called Darwin's Game, but later realizes that he's in for more than he's bargained for when he finds out that there's no way to quit the game.",Japanese,Japan,,,7.2,"2,636",tt11405390,,series
299,Deep Blue Sea,1999,R,28 Jul 1999,105.0,"Action, Adventure, Sci-Fi",Renny Harlin,"Duncan Kennedy, Donna Powers, Wayne Powers","Thomas Jane, Saffron Burrows, Samuel L. Jackson","Searching for a cure to Alzheimer's disease, a group of scientists on an isolated research facility become the prey, as a trio of intelligent sharks fight back.","English, Spanish","United States, Mexico",2 wins & 4 nominations,54,5.9,"134,662",tt0149261,"$73,648,142",movie
300,Ferris Bueller's Day Off,1986,PG-13,11 Jun 1986,103.0,Comedy,John Hughes,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara","A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.","English, German",United States,2 wins & 1 nomination,61,7.8,"357,382",tt0091042,"$70,136,369",movie
301,Five Feet Apart,2019,PG-13,15 Mar 2019,116.0,"Drama, Romance",Justin Baldoni,"Mikki Daughtry, Tobias Iaconis","Haley Lu Richardson, Cole Sprouse, Moises Arias","A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact.","English, French",United States,3 wins & 8 nominations,53,7.2,"67,054",tt6472976,"$45,729,221",movie
302,Freedomland,2006,R,17 Feb 2006,113.0,"Crime, Drama, Mystery",Joe Roth,Richard Price,"Julianne Moore, Samuel L. Jackson, Edie Falco",A black police detective must solve a strange case of a kidnapped boy and deal with a big racial protest.,"English, Italian",United States,2 wins & 3 nominations,43,5.1,"16,463",tt0349467,"$12,512,886",movie
303,Friday Night Lights,2006–2011,TV-14,03 Oct 2006,44.0,"Drama, Sport",,Peter Berg,"Kyle Chandler, Connie Britton, Zach Gilford","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",English,United States,Won 3 Primetime Emmys. 17 wins & 103 nominations total,,8.7,"66,579",tt0758745,,series
304,Good Luck Chuck,2007,R,21 Sep 2007,96.0,"Comedy, Romance",Mark Helfrich,"Josh Stolberg, Steve Glenn","Dane Cook, Jessica Alba, Dan Fogler","In order to keep the woman of his dreams from falling for another guy, Charlie Logan has to break the curse that has made him wildly popular with single women: Sleep with Charlie once, and the next man you meet will be your true l...",English,"United States, Canada",1 win & 3 nominations,19,5.6,"91,015",tt0452625,"$35,017,297",movie
305,Inception,2010,PG-13,16 Jul 2010,148.0,"Action, Adventure, Sci-Fi",Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","English, Japanese, French","United States, United Kingdom",Won 4 Oscars. 158 wins & 220 nominations total,74,8.8,"2,328,647",tt1375666,"$292,587,330",movie
306,Magnolia,1999,R,07 Jan 2000,188.0,Drama,Paul Thomas Anderson,Paul Thomas Anderson,"Tom Cruise, Jason Robards, Julianne Moore","An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.","English, German, French",United States,Nominated for 3 Oscars. 28 wins & 59 nominations total,77,8.0,"312,762",tt0175880,"$22,455,976",movie
307,Major Payne,1995,PG-13,24 Mar 1995,95.0,"Adventure, Comedy, Family",Nick Castle,"Joe Connelly, Bob Mosher, William Roberts","Damon Wayans, Michael Ironside, Bam Bam Bigelow",A recently discharged Major finds himself commanding a group of mismatched Cadets.,"English, Vietnamese",United States,,34,6.2,"36,024",tt0110443,"$29,412,050",movie
308,My Girl,1991,PG,27 Nov 1991,102.0,"Comedy, Drama, Family",Howard Zieff,Laurice Elehwany,"Anna Chlumsky, Macaulay Culkin, Dan Aykroyd",A young girl on the threshold of her teen years finds her life turning upside down when she is accompanied by an unlikely friend.,English,United States,2 wins & 5 nominations,56,6.9,"81,845",tt0102492,"$59,489,799",movie
309,My Girl 2,1994,PG,11 Feb 1994,99.0,"Comedy, Drama, Family",Howard Zieff,"Laurice Elehwany, Janet Kovalcik","Dan Aykroyd, Jamie Lee Curtis, Anna Chlumsky","Vada Sultenfuss must go to LA to stay with her Uncle Phil to do some research on her mother's life, but finds much more.",English,United States,1 win & 2 nominations,,5.3,"20,021",tt0110613,"$17,359,799",movie
310,Open Season: Scared Silly,2015,PG,08 Mar 2016,84.0,"Animation, Adventure, Comedy","David Feiss, Frantisek Vasa","Carlos Kotkin, John B. Carls, Steve Moore","Will Townsend, Donny Lucas, Melissa Sturm","Elliot, Boog and all of the beloved woodland creatures are back in a brand-new comedy adventure.",English,,5 nominations,,5.0,"3,202",tt4938374,,movie
311,Pineapple Express,2008,R,06 Aug 2008,111.0,"Action, Comedy, Crime",David Gordon Green,"Seth Rogen, Evan Goldberg, Judd Apatow","Seth Rogen, James Franco, Gary Cole",A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.,"English, Cantonese, Korean",United States,2 wins & 15 nominations,64,6.9,"340,215",tt0910936,"$87,341,380",movie
312,Planet 51,2009,PG,20 Nov 2009,91.0,"Animation, Adventure, Comedy","Jorge Blanco, Javier Abad, Marcos Martínez","Joe Stillman, Javier Abad, Jorge Blanco","Dwayne Johnson, Seann William Scott, Jessica Biel","An alien civilization is invaded by Astronaut Chuck Baker, who believes that the planet was uninhabited. Wanted by the military, Baker must get back to his ship before it goes into orbit without him.","English, Spanish","Spain, United Kingdom, United States",3 wins & 3 nominations,39,6.0,"55,661",tt0762125,"$42,194,060",movie
313,Poms,2019,PG-13,10 May 2019,90.0,"Comedy, Drama, Sport",Zara Hayes,"Zara Hayes, Shane Atkinson","Diane Keaton, Jacki Weaver, Celia Weston","POMS is a comedy about a group of women who form a cheer leading squad at their retirement community, proving that you're never too old to 'bring it!'",English,"United Kingdom, United States",2 nominations,36,6.1,"6,453",tt5125894,"$13,631,124",movie
314,Seabiscuit,2003,PG-13,25 Jul 2003,140.0,"Drama, History, Sport",Gary Ross,"Laura Hillenbrand, Gary Ross","Tobey Maguire, Jeff Bridges, Elizabeth Banks",True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,English,United States,Nominated for 7 Oscars. 6 wins & 44 nominations total,72,7.3,"73,696",tt0329575,"$120,277,854",movie
315,Space Cowboys,2000,PG-13,04 Aug 2000,130.0,"Action, Adventure, Thriller",Clint Eastwood,"Ken Kaufman, Howard Klausner","Clint Eastwood, Tommy Lee Jones, Donald Sutherland","When retired engineer Frank Corvin (Clint Eastwood) is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",English,United States,Nominated for 1 Oscar. 4 wins & 9 nominations total,73,6.5,"82,034",tt0186566,"$90,464,773",movie
316,Team America: World Police,2004,R,15 Oct 2004,98.0,"Action, Comedy",Trey Parker,"Trey Parker, Matt Stone, Pam Brady","Trey Parker, Matt Stone, Elle Russ","Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.","English, French, Klingon, Korean, Arabic","United States, Germany",1 win & 11 nominations,64,7.2,"170,110",tt0372588,"$32,786,074",movie
317,The Edge of Seventeen,2016,R,18 Nov 2016,104.0,"Comedy, Drama",Kelly Fremon Craig,Kelly Fremon Craig,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner","High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",English,"United States, China",8 wins & 29 nominations,77,7.3,"126,985",tt1878870,"$14,431,633",movie
318,The Haunting in Connecticut 2: Ghosts of Georgia,2013,R,01 Feb 2013,100.0,"Drama, Horror, Mystery",Tom Elkins,David Coggeshall,"Abigail Spencer, Chad Michael Murray, Katee Sackhoff","A young family moves into a historic home in Georgia, only to learn they are not the house's only inhabitants. Soon they find themselves in the presence of a secret rising from underground and threatening to bring down anyone in i...",English,United States,,26,5.3,"17,527",tt1457765,,movie
319,The Last Boy Scout,1991,R,13 Dec 1991,105.0,"Action, Comedy, Crime",Tony Scott,"Shane Black, Greg Hicks","Bruce Willis, Damon Wayans, Chelsea Field","A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner.",English,United States,2 nominations,52,7.0,"104,287",tt0102266,"$59,509,925",movie
320,The Lincoln Lawyer,2011,R,18 Mar 2011,118.0,"Crime, Drama, Mystery",Brad Furman,"John Romano, Michael Connelly","Matthew McConaughey, Marisa Tomei, Ryan Phillippe",A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.,English,United States,1 nomination,63,7.3,"239,312",tt1189340,"$58,009,200",movie
321,The Losers,2010,PG-13,23 Apr 2010,97.0,"Action, Adventure, Comedy",Sylvain White,"Peter Berg, James Vanderbilt, Andy Diggle","Idris Elba, Zoe Saldana, Jeffrey Dean Morgan","A CIA special forces team is betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.","English, Spanish, Sanskrit","United States, France",1 win & 7 nominations,44,6.3,"102,373",tt0480255,"$23,591,432",movie
322,The Machinist,2004,R,03 Dec 2004,101.0,"Drama, Thriller",Brad Anderson,Scott Kosar,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón",An industrial worker who hasn't slept in a year begins to doubt his own sanity.,"English, Spanish","Spain, France, United Kingdom, United States",7 wins & 15 nominations,61,7.7,"391,141",tt0361862,"$1,082,715",movie
323,The Net,1995,PG-13,28 Jul 1995,114.0,"Action, Crime, Drama",Irwin Winkler,"John Brancato, Michael Ferris","Sandra Bullock, Jeremy Northam, Dennis Miller","A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.","English, Spanish",United States,2 wins,51,5.9,"68,513",tt0113957,"$50,727,965",movie
324,The Original Kings of Comedy,2000,R,18 Aug 2000,115.0,"Comedy, Documentary",Spike Lee,"Cedric the Entertainer, Steve Harvey, D.L. Hughley","Steve Harvey, D.L. Hughley, Cedric the Entertainer",A concert film featuring four major African American stand up comedians.,English,United States,3 nominations,73,6.8,"5,857",tt0236388,"$38,182,790",movie
325,Valentine's Day,2010,PG-13,12 Feb 2010,125.0,"Comedy, Romance",Garry Marshall,"Katherine Fugate, Abby Kohn, Marc Silverstein","Julia Roberts, Jamie Foxx, Anne Hathaway",Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,"English, Spanish, Russian, Italian",United States,7 wins & 12 nominations,34,5.7,"120,477",tt0817230,"$110,528,528",movie
326,Charmed,1998–2006,TV-14,07 Oct 1998,42.0,"Drama, Fantasy, Mystery",,Constance M. Burge,"Holly Marie Combs, Alyssa Milano, Brian Krause","Three sisters discover their destiny, to battle against the forces of evil, using their witchcraft. They are the Charmed Ones.",English,United States,5 wins & 20 nominations,,7.1,"84,136",tt0158552,,series
327,The Lost Café,2018,,18 May 2018,76.0,Drama,Kenneth Gyang,"Emil Garuba, Ifesinachi Okoli-Okpagu, Regina Idu Udalor","Tunde Aladese, Grace-Charis Bassey, Jenny Bonden","An uplifting story about a girl's decision to rise above her dark family secrets, heartbreak and culture shock to live out her dreams abroad.","English, Norwegian","Nigeria, Norway",7 nominations,,7.0,28,tt7371662,,movie
328,The Vault,2021,R,26 Mar 2021,118.0,"Action, Adventure, Thriller",Jaume Balagueró,"Rafa Martínez, Andrés M. Koppel, Borja Glez. Santaolalla","Freddie Highmore, Astrid Bergès-Frisbey, Sam Riley",Follows a genius engineering graduate who is interested in the Bank of Spain's safe.,"English, Spanish, Italian, German","Spain, France",2 wins,50,6.4,"25,838",tt9742794,,movie
329,Centaurworld,2021,TV-Y7,30 Jul 2021,,"Animation, Short, Adventure",,Megan Dong,"Megan Dong, Parvesh Cheena, Chris Diamantopoulos","A hardened war horse transported away from battle finds herself in a land that's inhabited by silly, singing centaurs of all shapes and sizes.",English,United States,6 nominations,,7.7,"2,214",tt10919290,,series
330,Eyes of a Thief,2014,Not Rated,01 Oct 2014,98.0,Drama,Najwa Najjar,Najwa Najjar,"Kal Naga, Souad Massi, Suhail Haddad",A father with a dangerous secret searches for his daughter.,Arabic,"Occupied Palestinian Territory, France, Algeria",2 wins,,6.5,463,tt2993406,,movie
331,Glow Up: Britain's Next Make-Up Star,2019–,TV-14,06 Mar 2019,,"Game-Show, Reality-TV",,,"Dominic C. Skinner, Val Garland, Maya Jama",A talented group of aspiring make-up artists attempt to prove their potential to industry professionals in this competition hosted first by Stacey Dooley then by Maya Jama.,English,United Kingdom,1 nomination,,6.9,"2,405",tt9680524,,series
332,I'm Glad I Did,2020,,05 Jul 2020,114.0,Documentary,Selçuk Metin,Zeynep Miraç,"Demet Akbag, Metin Akpinar, Dikmen Gurun","Bringing Metin Akpinar's extraordinary career of nearly sixty years to the screen, ""I'm Glad I Did"" is a unique production that focuses on the artist's entire life as well as his career.",Turkish,Turkey,,,8.4,"1,480",tt15139398,,movie
333,Khawatir,2005–2015,TV-14,04 Oct 2005,25.0,Reality-TV,,,"Ahmad Al Shugairi, HGM Moe Ji One","A TV show devoted to help young people to be mature in their faith, work &amp; knowledge",Arabic,Saudi Arabia,,,9.5,"3,170",tt3062514,,series
